,0,1
0,"Software Engineering Intern, Summer 2022",Wing
1,Software Engineer Intern - 2022 Summer,TikTok
2,Autopilot - Software Engineer Internship (Summer 2022),Tesla
3,2022 Summer Internship - Software Engineering,JPL/NASA
4,Software Engineering Intern - Summer 2022,Box
5,"2022 Summer Internship, Software Engineering - Front-End",Aurora Innovation
6,Software Engineering Intern - Summer 2022,NXP Semiconductors
7,Software Engineering Intern (Spring/Summer 2022),Frontapp
8,Software Engineering Intern - Summer 2022,Box
9,Software Engineering Intern - Mobile and Games (Summer 2022),Nickelodeon
10,"2022 Summer Internship, Software Engineering - Perception",Aurora Innovation
11,Software Engineer PhD Intern (Search-Business Engineering) -...,TikTok
12,"Simulation Software Engineer Intern, Summer 2022",Wing
13,Mobile Software Engineer Intern - 2022 Summer,TikTok
14,"2022 Summer Internship: Software Engineering, Visualization...",Argo AI
15,Software Engineering Intern (Consulting) - Summer 2022,"Liferay, Inc."
16,Software Engineer - 2022 Summer Internship,Nutanix
17,Undergrad Software Engineer Intern (Summer 2022),New Relic
18,Summer 2022 Intern - Tableau Software Engineer,Salesforce
19,Software Engineering Intern (Summer 2022),Roblox
